ibge,anomes,cadunico_tot_fam,cadunico_tot_pes,cadunico_tot_fam_rpc_ate_meio_sm,cadunico_tot_pes_rpc_ate_meio_sm,cadunico_tot_fam_pob,cadunico_tot_pes_pob,cadunico_tot_fam_ext_pob,cadunico_tot_pes_ext_pob,cadunico_tot_fam_pob_e_ext_pob,cadunico_tot_pes_pob_e_ext_pob
172085,202102,470,1272,309,932,57,170,103,294,160,464
172090,202102,4013,9944,3132,8781,132,377,2381,6766,2513,7143
172093,202102,461,1366,333,1137,17,88,200,644,217,732
172097,202102,674,1749,474,1409,62,192,209,622,271,814
172100,202102,48785,119467,35141,98353,5919,18199,12983,37230,18902,55429
172110,202102,1580,5729,1363,5393,127,536,1012,4158,1139,4694
172120,202102,4994,14569,3913,12813,497,1684,2186,7405,2683,9089
172125,202102,386,1036,295,885,21,72,182,522,203,594
172130,202102,620,1505,490,1299,25,89,343,830,368,919
172208,202102,2609,6250,2101,5596,222,446,1501,4165,1723,4611
172210,202102,2663,6682,2041,5893,306,964,1184,3586,1490,4550
210005,202102,18771,53188,14172,45620,4102,13769,5308,17928,9410,31697
210010,202102,1928,5908,1745,5688,69,292,1528,4992,1597,5284
210015,202102,3292,9802,2922,9316,155,481,2418,7750,2573,8231
210020,202102,7319,17236,6245,15990,90,285,5738,14729,5828,15014
210030,202102,4612,15246,4254,14707,257,1031,3583,12443,3840,13474
210040,202102,1803,4291,1594,4038,32,86,1364,3379,1396,3465
210043,202102,5965,17258,5129,16088,409,1235,3989,12733,4398,13968
210047,202102,6449,20033,5278,18483,131,682,4568,15992,4699,16674
210050,202102,2179,7320,1736,6506,159,666,1204,4517,1363,5183
210055,202102,1874,6010,1703,5746,64,237,1450,4920,1514,5157
210060,202102,7237,26339,6450,24970,652,2601,4479,17817,5131,20418
210070,202102,7003,19948,6564,19377,45,207,6198,18236,6243,18443
210080,202102,4333,14317,4117,14086,44,256,3801,13083,3845,13339
210083,202102,5505,15725,4583,14744,37,164,4359,14083,4396,14247
210087,202102,2966,8084,2542,7520,84,247,2158,6444,2242,6691
210090,202102,9104,28413,8512,27387,488,1259,7241,23580,7729,24839
210095,202102,6458,20589,5900,19886,259,1028,4936,17023,5195,18051
210100,202102,6714,20392,5990,19230,409,1419,4617,14905,5026,16324
210110,202102,2883,9275,2662,9015,54,318,2397,8071,2451,8389
210120,202102,22907,61852,18968,56753,1927,4586,12800,41076,14727,45662
210125,202102,4396,11764,3819,11088,760,1756,2635,8233,3395,9989
210130,202102,4302,11145,3567,10231,162,338,3007,8763,3169,9101
210135,202102,1445,4272,1254,3968,58,150,1024,3334,1082,3484
210140,202102,19274,49881,14844,44188,2956,8249,8094,25828,11050,34077
210150,202102,4308,10427,3856,9807,142,392,3271,8188,3413,8580
210160,202102,16397,47350,14121,44517,1214,4019,9984,32793,11198,36812
210170,202102,15242,46669,14175,45315,795,2098,12400,40227,13195,42325
210173,202102,2260,8646,2119,8400,101,572,1808,7130,1909,7702
210177,202102,3472,9507,3019,8952,175,396,2573,7935,2748,8331
210180,202102,1438,3815,1257,3600,26,70,1145,3293,1171,3363
210190,202102,5364,14261,4554,13191,78,323,3923,11251,4001,11574
210193,202102,1328,3843,1170,3593,33,129,873,2735,906,2864
210197,202102,2101,6433,1941,6217,156,467,1576,5160,1732,5627
210200,202102,7652,24408,6791,22982,402,1514,5373,18162,5775,19676
210203,202102,6985,20581,5954,19196,380,1288,4744,15604,5124,16892
210207,202102,3971,9551,3036,8556,166,344,2526,7338,2692,7682
210210,202102,7957,25717,7267,24741,163,930,6230,21006,6393,21936
210215,202102,2493,7801,2136,7271,121,607,1593,5348,1714,5955
210220,202102,6106,21038,5803,20598,170,1123,5111,17779,5281,18902
210230,202102,5077,15327,4628,14657,472,1182,3772,12367,4244,13549
210232,202102,10944,34334,9005,31373,1615,5511,5499,20546,7114,26057
210235,202102,3314,10013,2939,9494,164,653,2467,7968,2631,8621
210237,202102,2781,8981,2396,8534,31,183,2215,7893,2246,8076
210240,202102,2597,8076,2393,7722,71,247,1987,6305,2058,6552
210250,202102,5653,17085,5145,16445,75,429,4680,14894,4755,15323
210255,202102,2486,7579,2114,6936,283,935,1355,4450,1638,5385
210260,202102,5450,16163,4820,15257,253,934,4050,12748,4303,13682
210270,202102,4947,13501,4418,12839,95,422,3957,11399,4052,11821
210275,202102,3432,8721,3006,8194,76,210,2498,6802,2574,7012
210280,202102,5589,15753,4500,14097,243,933,3356,10363,3599,11296
210290,202102,7261,19226,6503,18281,100,325,6083,17079,6183,17404
210300,202102,32351,88077,26449,79610,2047,6442,18449,57742,20496,64184
210310,202102,3076,7802,2728,7299,132,289,2369,6403,2501,6692
210312,202102,2689,6779,2386,6455,26,113,2251,6032,2277,6145
210315,202102,2979,8228,2572,7775,78,224,2274,7022,2352,7246
210317,202102,4078,12776,3691,12320,135,671,3277,10849,3412,11520
210320,202102,19037,56820,17413,54692,380,1690,15470,48439,15850,50129
210325,202102,3672,10275,3157,9607,111,322,2731,8531,2842,8853
210330,202102,23902,67191,19130,61124,5736,16470,9087,33801,14823,50271
210340,202102,10074,29317,8964,27840,782,2311,6762,21739,7544,24050
210350,202102,8997,25958,7942,24686,140,490,7117,22234,7257,22724
210355,202102,4273,14009,3786,13248,97,471,3227,11347,3324,11818
210360,202102,13727,42514,12251,40374,597,2716,9279,30037,9876,32753
210370,202102,10877,24363,8442,21803,244,403,7726,20439,7970,20842
210375,202102,3184,8463,2445,7449,666,2105,996,3373,1662,5478
210380,202102,5377,13739,4657,12904,195,476,4000,11186,4195,11662
210390,202102,2563,8923,2373,8598,123,564,2013,7260,2136,7824
210400,202102,4492,13552,3994,12964,123,372,3581,11824,3704,12196
210405,202102,6764,18173,5486,16376,1053,2920,3060,9814,4113,12734
210407,202102,1952,6411,1666,5907,78,338,1341,4707,1419,5045
210408,202102,2580,9443,2417,9204,148,687,1927,7374,2075,8061
210409,202102,3765,12921,3447,12487,108,577,2866,10466,2974,11043
210410,202102,3368,10167,2871,9348,150,574,2208,7129,2358,7703
210420,202102,3762,11971,3414,11362,193,594,2876,9687,3069,10281
210430,202102,2244,6516,1988,6184,91,258,1693,5350,1784,5608
210440,202102,4321,11600,3759,10897,75,263,3413,9821,3488,10084
210450,202102,2357,7009,2031,6541,82,292,1683,5394,1765,5686
210455,202102,4388,11410,3341,10093,953,2927,1496,4820,2449,7747
210460,202102,3695,10489,3137,9770,57,236,2751,8530,2808,8766
210462,202102,1650,4965,1415,4586,37,147,1155,3779,1192,3926
210465,202102,2726,7852,2377,7370,79,348,1898,5753,1977,6101
210467,202102,5825,18461,5096,17509,294,1115,4203,14672,4497,15787
210470,202102,1974,5260,1468,4538,106,238,1114,3612,1220,3850
210480,202102,16116,47268,13369,43892,1143,3397,9779,34745,10922,38142
210490,202102,3628,9146,2945,8211,91,260,2487,6923,2578,7183
210500,202102,6390,24070,5875,23198,394,1853,4792,18838,5186,20691
210510,202102,5879,19415,5150,18636,118,521,4641,17054,4759,17575
210515,202102,3720,10922,3241,10378,204,729,2635,8607,2839,9336
210520,202102,2521,7251,2261,6908,69,247,1927,5835,1996,6082
210530,202102,50619,124647,39121,107729,6867,22570,11178,37995,18045,60565
210535,202102,3139,10399,2914,10064,161,577,2414,8413,2575,8990
210540,202102,14588,41770,12109,38304,1506,4346,8348,27821,9854,32167
210542,202102,6596,15109,5276,13674,396,688,4230,11782,4626,12470
210545,202102,2205,6804,2082,6605,40,166,1853,5816,1893,5982
210547,202102,3549,12592,3159,11856,293,1058,2409,9245,2702,10303
210550,202102,6063,18161,4792,16162,337,1297,3400,11788,3737,13085
210560,202102,3574,10747,3195,10148,117,347,2704,8550,2821,8897
210565,202102,1480,4759,1236,4412,69,352,932,3340,1001,3692
210570,202102,10366,28054,9237,26679,337,914,7953,23495,8290,24409
210580,202102,2968,7893,2388,7124,126,282,1664,5172,1790,5454
210590,202102,4217,12542,3662,11842,67,368,3264,10480,3331,10848
210592,202102,2628,7690,2410,7337,22,106,2057,6182,2079,6288
210594,202102,2470,6647,1897,5764,91,272,1394,4406,1485,4678
210596,202102,2527,8859,2291,8401,103,420,1893,6960,1996,7380
210598,202102,1797,5229,1662,5025,57,228,1454,4334,1511,4562
210600,202102,2990,7939,2461,7196,112,283,1891,5589,2003,5872
210610,202102,2706,7475,2330,7028,61,264,1995,6017,2056,6281
210620,202102,2803,7362,2332,6797,52,151,2103,6164,2155,6315
210630,202102,2990,9976,2735,9551,123,574,2248,7762,2371,8336
210632,202102,4368,13928,3892,13241,223,934,3076,10406,3299,11340
210635,202102,1719,6114,1628,5958,98,351,1344,5015,1442,5366
210637,202102,2433,7996,2119,7554,151,645,1561,5654,1712,6299
210640,202102,4481,16012,4209,15694,68,338,3826,14313,3894,14651
210650,202102,7417,21064,6747,20212,112,385,6066,18191,6178,18576
210660,202102,7983,23732,7159,22406,273,1114,6059,18646,6332,19760
210663,202102,2577,7430,2369,7189,156,358,1995,6270,2151,6628
210667,202102,1963,6323,1762,6026,58,236,1569,5424,1627,5660
210670,202102,4498,14975,4107,14360,106,507,3615,12561,3721,13068
210675,202102,5041,13558,4309,12623,286,703,3473,10547,3759,11250
210680,202102,4595,11037,3887,10205,106,182,3499,9314,3605,9496
210690,202102,7566,23058,6310,21671,232,991,5589,19369,5821,20360
210700,202102,2761,7706,2190,6878,152,453,1580,5181,1732,5634
210710,202102,4751,14930,4188,14140,97,553,3702,12330,3799,12883
210720,202102,2973,9666,2640,9252,60,353,2321,8073,2381,8426
